source,target,weight
"(121.531,31.275)","(121.538,31.276999999999997)",0.0072801098892713596
"(121.411,31.230999999999998)","(121.406,31.238000000000003)",0.008602325267044054
"(121.50299999999999,31.285)","(121.50399999999999,31.273000000000003)",0.012041594578789604
"(121.389,31.276)","(121.39200000000001,31.268)",0.008544003745321736
"(121.428,31.195)","(121.445,31.195999999999998)",0.01702938636592218
"(121.493,31.268)","(121.491,31.27)",0.0028284271247421104
"(121.53299999999999,31.33)","(121.53399999999999,31.331)",0.0014142135623773356
"(121.476,31.337)","(121.484,31.323)",0.01612451549659433
"(121.484,31.272)","(121.48,31.269000000000002)",0.004999999999990479
"(121.431,31.265)","(121.444,31.266)",0.013038404810410333
"(121.47399999999999,31.32)","(121.46799999999999,31.326999999999998)",0.009219544457291439
"(121.45100000000001,31.329)","(121.461,31.33)",0.010049875621111608
"(121.44,31.314)","(121.459,31.255)",0.061983868869249614
"(121.529,31.230999999999998)","(121.535,31.243000000000002)",0.013416407865002424
"(121.462,31.265)","(121.46,31.274)",0.009219544457295292
"(121.45200000000001,31.276)","(121.455,31.308000000000003)",0.032140317359978646
"(121.447,31.224)","(121.454,31.22)",0.008062257748291217
"(121.529,31.274)","(121.53399999999999,31.269000000000002)",0.007071067811861557
"(121.507,31.329)","(121.53,31.328000000000003)",0.023021728866438714
"(121.486,31.32)","(121.47399999999999,31.331)",0.016278820596109998
"(121.375,31.254)","(121.376,31.271)",0.017029386365926144
"(121.485,31.239)","(121.48700000000001,31.253)",0.014142135623731655
"(121.334,31.268)","(121.32799999999999,31.269000000000002)",0.006082762530312662
"(121.54,31.284000000000002)","(121.555,31.285999999999998)",0.015132745950421503
"(121.396,31.258000000000003)","(121.397,31.256)",0.0022360679775041115
"(121.449,31.307)","(121.45100000000001,31.313000000000002)",0.006324555320343365
"(121.514,31.249000000000002)","(121.51,31.25)",0.004123105625608052
"(121.45299999999999,31.34)","(121.45700000000001,31.337)",0.005000000000015348
