label,lng,lat
"(121.42399999999999,31.264)",121.42399999999999,31.264
"(121.449,31.340999999999998)",121.449,31.340999999999998
"(121.448,31.325)",121.448,31.325
"(121.417,31.212)",121.417,31.212
"(121.367,31.250999999999998)",121.367,31.250999999999998
"(121.37299999999999,31.313000000000002)",121.37299999999999,31.313000000000002
"(121.54,31.274)",121.54,31.274
"(121.49799999999999,31.291999999999998)",121.49799999999999,31.291999999999998
"(121.51100000000001,31.281)",121.51100000000001,31.281
"(121.521,31.275)",121.521,31.275
"(121.44,31.322)",121.44,31.322
"(121.414,31.13)",121.414,31.13
"(121.36399999999999,31.27)",121.36399999999999,31.27
"(121.416,31.293000000000003)",121.416,31.293000000000003
"(121.34700000000001,31.314)",121.34700000000001,31.314
"(121.48700000000001,31.298000000000002)",121.48700000000001,31.298000000000002
"(121.367,31.19)",121.367,31.19
"(121.49,31.276999999999997)",121.49,31.276999999999997
"(121.51899999999999,31.263)",121.51899999999999,31.263
"(121.402,31.129)",121.402,31.129
"(121.396,31.212)",121.396,31.212
"(121.522,31.309)",121.522,31.309
"(121.426,31.134)",121.426,31.134
"(121.405,31.27)",121.405,31.27
"(121.541,31.266)",121.541,31.266
"(121.45100000000001,31.279)",121.45100000000001,31.279
"(121.419,31.291999999999998)",121.419,31.291999999999998
"(121.37899999999999,31.108)",121.37899999999999,31.108
"(121.42299999999999,31.291)",121.42299999999999,31.291
"(121.53,31.328000000000003)",121.53,31.328000000000003
"(121.435,31.323)",121.435,31.323
"(121.39399999999999,31.165)",121.39399999999999,31.165
"(121.321,31.296)",121.321,31.296
"(121.455,31.271)",121.455,31.271
"(121.49700000000001,31.147)",121.49700000000001,31.147
"(121.45,31.293000000000003)",121.45,31.293000000000003
"(121.48299999999999,31.274)",121.48299999999999,31.274
"(121.444,31.320999999999998)",121.444,31.320999999999998
"(121.384,31.146)",121.384,31.146
"(121.5,31.311999999999998)",121.5,31.311999999999998
"(121.495,31.279)",121.495,31.279
"(121.63799999999999,31.264)",121.63799999999999,31.264
"(121.40100000000001,31.272)",121.40100000000001,31.272
"(121.384,31.261)",121.384,31.261
"(121.45299999999999,31.159000000000002)",121.45299999999999,31.159000000000002
"(121.461,31.198)",121.461,31.198
"(121.382,31.236)",121.382,31.236
"(121.395,31.213)",121.395,31.213
"(121.427,31.189)",121.427,31.189
"(121.546,31.276)",121.546,31.276
"(121.459,31.313000000000002)",121.459,31.313000000000002
"(121.40899999999999,31.243000000000002)",121.40899999999999,31.243000000000002
"(121.509,31.316)",121.509,31.316
"(121.459,31.32)",121.459,31.32
"(121.39200000000001,31.241999999999997)",121.39200000000001,31.241999999999997
"(121.411,31.221999999999998)",121.411,31.221999999999998
"(121.536,31.269000000000002)",121.536,31.269000000000002
"(121.425,31.237)",121.425,31.237
"(121.553,31.276999999999997)",121.553,31.276999999999997
"(121.499,31.182)",121.499,31.182
"(121.45700000000001,31.296)",121.45700000000001,31.296
"(121.48899999999999,31.252)",121.48899999999999,31.252
"(121.493,31.204)",121.493,31.204
"(121.45100000000001,31.252)",121.45100000000001,31.252
"(121.44200000000001,31.313000000000002)",121.44200000000001,31.313000000000002
"(121.446,31.223000000000003)",121.446,31.223000000000003
"(121.449,31.23)",121.449,31.23
"(121.445,31.228)",121.445,31.228
"(121.53299999999999,31.268)",121.53299999999999,31.268
"(121.405,31.243000000000002)",121.405,31.243000000000002
